SEASON,Northeast,Southeast,Midwest,Rocky_Mtn,Pacific Southwest,Pacific Northwest,Pacific West,National Total,National Rank
2020/21,12252,5235,7098,22638,7238,4544,11781,59004,5
2019/20,11488,3835,6396,20107,5959,3294,9253,51079,33
2018/19,12514,4262,6498,24408,7585,4075,11660,59343,4
2017/18,11987,4161,6257,20792,6227,3850,10081,53273,25
2016/17,11936,4184,5421,21736,7385,4098,11483,54761,15
2015/16,9346,3957,5516,22287,7480,4206,11686,52792,26
2014/15,13332,5673,6982,20768,4822,2000,6823,53578,23
2013/14,13386,5769,7695,21100,5154,3387,8541,56491,13
2012/13,13334,5155,7273,19800,7140,4202,11342,56904,11
2011/12,11021,4405,6382,19130,6066,3962,10028,50966,34
2010/11,13887,5789,7811,20900,8111,4042,12153,60540,1
2009/10,13411,6016,7718,20378,8411,3853,12264,59787,3
2008/09,13730,5664,7247,19974,7091,3647,10738,57354,8
2007/08,14261,5204,8099,21324,7617,3998,11615,60502,2
2006/07,11801,4888,7200,20849,6536,3794,10330,55068,14
2006/07,12505,5839,7787,20717,7916,4133,12049,58897,6
2004/05,13661,5504,7533,19606,8888,1690,10579,56882,12
2003/04,12892,5588,7773,18868,8033,3912,11946,57067,10
2002/03,13991,5833,8129,18728,7885,3027,10913,57594,7
2001/02,12188,4994,6980,18123,7947,4179,12126,54411,17
2000/01,13697,5458,7580,19324,7836,3442,11278,57337,9
1999/00,12025,5191,6422,18109,6651,3800,10451,52198,29
1998/99,12299,4261,6005,18440,7485,3599,11084,52089,30
1997/98,12712,4343,6707,19191,7918,3251,11169,54122,18
1996/97,12407,4231,7137,18904,6359,3482,9841,52520,28
1995/96,13825,5693,7284,18148,6012,3022,9034,53983,20
1994/95,11265,4746,6907,18412,Not avail,Not avail,11346,52677,27
1993/94,13718,5808,7364,17503,Not avail,Not avail,10244,54637,16
1992/93,13217,4660,6978,18602,Not avail,Not avail,10575,54032,19
1991/92,12252,4425,6535,17687,Not avail,Not avail,9936,50835,35
1990/91,11157,4257,6486,16706,Not avail,Not avail,8115,46722,42
1989/90,13299,4447,6915,16048,Not avail,Not avail,9311,50020,39
1988/89,12741,5424,7013,16601,Not avail,Not avail,11556,53335,24
1987/88,14421,5885,6783,16564,Not avail,Not avail,10255,53908,21
1986/87,14745,5816,6944,16680,Not avail,Not avail,9564,53749,22
1985/86,12836,5218,7201,16869,Not avail,Not avail,9797,51921,31
1984/85,11083,4394,6899,17626,Not avail,Not avail,11352,51354,32
1983/84,12087,5175,6961,16801,Not avail,Not avail,9606,50630,37
1982/83,9523,4256,6213,14808,Not avail,Not avail,12061,46861,41
1981/82,11467,5064,7846,15337,Not avail,Not avail,11004,50718,36
1980/81,8953,4172,7688,10486,Not avail,Not avail,8401,39700,43
1979/80,8655,4230,8682,17160,Not avail,Not avail,9473,48200,40
1978/79,11294,3763,9743,15837,Not avail,Not avail,9560,50197,38
