,date,datatype,station,attributes,value,season
0,1978-11-01T00:00:00,PRCP,GHCND:USC00060128,",,,0",2.69,1978/1979
1,1978-11-01T00:00:00,PRCP,GHCND:USC00060299,",,,0",1.67,1978/1979
2,1978-11-01T00:00:00,PRCP,GHCND:USC00060918,",a,,0",2.25,1978/1979
3,1978-11-01T00:00:00,SNOW,GHCND:USC00060918,",,,0",4.0,1978/1979
4,1978-11-01T00:00:00,EMNT,GHCND:USC00060961,",0,29,",17.0,1978/1979
5,1978-11-01T00:00:00,PRCP,GHCND:USC00060961,",,,0",1.56,1978/1979
6,1978-11-01T00:00:00,TMIN,GHCND:USC00060961,",,,0",29.2,1978/1979
7,1978-11-01T00:00:00,EMNT,GHCND:USC00060973,",0,28,",15.0,1978/1979
8,1978-11-01T00:00:00,EMXT,GHCND:USC00060973,"1,0,07,",73.0,1978/1979
9,1978-11-01T00:00:00,PRCP,GHCND:USC00060973,",,,0",1.98,1978/1979
10,1978-11-01T00:00:00,SNOW,GHCND:USC00060973,",,,0",3.5,1978/1979
11,1978-11-01T00:00:00,TAVG,GHCND:USC00060973,"1,0",41.1,1978/1979
12,1978-11-01T00:00:00,TMAX,GHCND:USC00060973,"1,,,0",51.6,1978/1979
13,1978-11-01T00:00:00,TMIN,GHCND:USC00060973,",,,0",30.7,1978/1979
14,1978-11-01T00:00:00,PRCP,GHCND:USC00061488,",,,0",2.87,1978/1979
15,1978-11-01T00:00:00,SNOW,GHCND:USC00061488,",,,0",3.8,1978/1979
16,1978-11-01T00:00:00,EMNT,GHCND:USC00061689,",0,29,",13.0,1978/1979
17,1978-11-01T00:00:00,EMXT,GHCND:USC00061689,",0,07,",71.0,1978/1979
18,1978-11-01T00:00:00,PRCP,GHCND:USC00061689,",,,0",2.05,1978/1979
19,1978-11-01T00:00:00,SNOW,GHCND:USC00061689,"2,,,0",0.6,1978/1979
20,1978-11-01T00:00:00,TAVG,GHCND:USC00061689,",0",39.1,1978/1979
21,1978-11-01T00:00:00,TMAX,GHCND:USC00061689,",,,0",51.3,1978/1979
22,1978-11-01T00:00:00,TMIN,GHCND:USC00061689,",,,0",26.8,1978/1979
23,1978-11-01T00:00:00,EMNT,GHCND:USC00061762,",0,27,+",17.0,1978/1979
24,1978-11-01T00:00:00,EMXT,GHCND:USC00061762,",0,06,",70.0,1978/1979
25,1978-11-01T00:00:00,PRCP,GHCND:USC00061762,",,,0",1.88,1978/1979
26,1978-11-01T00:00:00,SNOW,GHCND:USC00061762,",,,0",2.0,1978/1979
27,1978-11-01T00:00:00,TAVG,GHCND:USC00061762,",0",42.1,1978/1979
28,1978-11-01T00:00:00,TMAX,GHCND:USC00061762,",,,0",50.6,1978/1979
29,1978-11-01T00:00:00,TMIN,GHCND:USC00061762,",,,0",33.5,1978/1979
30,1978-11-01T00:00:00,PRCP,GHCND:USC00062169,",,,0",2.63,1978/1979
31,1978-11-01T00:00:00,EMNT,GHCND:USC00062658,",0,27,",15.0,1978/1979
32,1978-11-01T00:00:00,EMXT,GHCND:USC00062658,",0,06,",72.0,1978/1979
33,1978-11-01T00:00:00,PRCP,GHCND:USC00062658,",,,0",1.47,1978/1979
34,1978-11-01T00:00:00,TAVG,GHCND:USC00062658,",0",39.2,1978/1979
35,1978-11-01T00:00:00,TMAX,GHCND:USC00062658,",,,0",50.4,1978/1979
36,1978-11-01T00:00:00,TMIN,GHCND:USC00062658,",,,0",27.9,1978/1979
37,1978-11-01T00:00:00,EMNT,GHCND:USC00063207,",0,26,",11.0,1978/1979
38,1978-11-01T00:00:00,EMXT,GHCND:USC00063207,",0,18,",66.0,1978/1979
39,1978-11-01T00:00:00,PRCP,GHCND:USC00063207,",,,0",3.74,1978/1979
40,1978-11-01T00:00:00,SNOW,GHCND:USC00063207,",,,0",1.0,1978/1979
41,1978-11-01T00:00:00,TAVG,GHCND:USC00063207,",0",43.5,1978/1979
42,1978-11-01T00:00:00,TMAX,GHCND:USC00063207,",,,0",52.9,1978/1979
43,1978-11-01T00:00:00,TMIN,GHCND:USC00063207,",,,0",34.2,1978/1979
44,1978-11-01T00:00:00,EMNT,GHCND:USC00064488,",0,26,",11.0,1978/1979
45,1978-11-01T00:00:00,EMXT,GHCND:USC00064488,",0,07,",70.0,1978/1979
46,1978-11-01T00:00:00,PRCP,GHCND:USC00064488,",,,0",2.31,1978/1979
47,1978-11-01T00:00:00,SNOW,GHCND:USC00064488,",,,0",2.0,1978/1979
48,1978-11-01T00:00:00,TAVG,GHCND:USC00064488,",0",40.9,1978/1979
49,1978-11-01T00:00:00,TMAX,GHCND:USC00064488,",,,0",52.7,1978/1979
50,1978-11-01T00:00:00,TMIN,GHCND:USC00064488,",,,0",29.2,1978/1979
51,1978-11-01T00:00:00,EMNT,GHCND:USC00064767,",0,28,+",19.0,1978/1979
52,1978-11-01T00:00:00,EMXT,GHCND:USC00064767,",0,19,+",64.0,1978/1979
53,1978-11-01T00:00:00,PRCP,GHCND:USC00064767,",,,0",2.77,1978/1979
54,1978-11-01T00:00:00,SNOW,GHCND:USC00064767,",,,0",2.0,1978/1979
55,1978-11-01T00:00:00,TAVG,GHCND:USC00064767,",0",42.4,1978/1979
56,1978-11-01T00:00:00,TMAX,GHCND:USC00064767,",,,0",50.7,1978/1979
57,1978-11-01T00:00:00,TMIN,GHCND:USC00064767,",,,0",34.1,1978/1979
58,1978-11-01T00:00:00,EMNT,GHCND:USC00065077,",0,28,",15.0,1978/1979
59,1978-11-01T00:00:00,EMXT,GHCND:USC00065077,",0,18,+",66.0,1978/1979
60,1978-11-01T00:00:00,PRCP,GHCND:USC00065077,",,,0",3.3,1978/1979
61,1978-11-01T00:00:00,SNOW,GHCND:USC00065077,",,,0",2.6,1978/1979
62,1978-11-01T00:00:00,TAVG,GHCND:USC00065077,",0",43.2,1978/1979
63,1978-11-01T00:00:00,TMAX,GHCND:USC00065077,",,,0",52.5,1978/1979
64,1978-11-01T00:00:00,TMIN,GHCND:USC00065077,",,,0",34.0,1978/1979
65,1978-11-01T00:00:00,EMNT,GHCND:USC00065266,",0,27,+",22.0,1978/1979
66,1978-11-01T00:00:00,EMXT,GHCND:USC00065266,",0,07,+",67.0,1978/1979
67,1978-11-01T00:00:00,TAVG,GHCND:USC00065266,",0",46.6,1978/1979
68,1978-11-01T00:00:00,TMAX,GHCND:USC00065266,",,,0",54.3,1978/1979
69,1978-11-01T00:00:00,TMIN,GHCND:USC00065266,",,,0",38.9,1978/1979
70,1978-11-01T00:00:00,EMNT,GHCND:USC00065445,",0,27,+",11.0,1978/1979
71,1978-11-01T00:00:00,EMXT,GHCND:USC00065445,",0,07,",67.0,1978/1979
72,1978-11-01T00:00:00,PRCP,GHCND:USC00065445,",,,0",2.3,1978/1979
73,1978-11-01T00:00:00,SNOW,GHCND:USC00065445,",,,0",10.5,1978/1979
74,1978-11-01T00:00:00,TAVG,GHCND:USC00065445,",0",37.1,1978/1979
75,1978-11-01T00:00:00,TMAX,GHCND:USC00065445,",,,0",45.4,1978/1979
76,1978-11-01T00:00:00,TMIN,GHCND:USC00065445,",,,0",28.8,1978/1979
77,1978-11-01T00:00:00,EMNT,GHCND:USC00065893,",0,28,",20.0,1978/1979
78,1978-11-01T00:00:00,EMXT,GHCND:USC00065893,",0,19,+",67.0,1978/1979
79,1978-11-01T00:00:00,PRCP,GHCND:USC00065893,",,,0",1.98,1978/1979
80,1978-11-01T00:00:00,SNOW,GHCND:USC00065893,",,,0",0.0,1978/1979
81,1978-11-01T00:00:00,TAVG,GHCND:USC00065893,",0",44.7,1978/1979
82,1978-11-01T00:00:00,TMAX,GHCND:USC00065893,",,,0",54.5,1978/1979
83,1978-11-01T00:00:00,TMIN,GHCND:USC00065893,",,,0",34.8,1978/1979
84,1978-11-01T00:00:00,EMNT,GHCND:USC00065910,",0,26,",19.0,1978/1979
85,1978-11-01T00:00:00,EMXT,GHCND:USC00065910,",0,18,",68.0,1978/1979
86,1978-11-01T00:00:00,PRCP,GHCND:USC00065910,",,,0",3.65,1978/1979
87,1978-11-01T00:00:00,SNOW,GHCND:USC00065910,",,,0",2.5,1978/1979
88,1978-11-01T00:00:00,TAVG,GHCND:USC00065910,",0",43.2,1978/1979
89,1978-11-01T00:00:00,TMAX,GHCND:USC00065910,",,,0",53.8,1978/1979
90,1978-11-01T00:00:00,TMIN,GHCND:USC00065910,",,,0",32.6,1978/1979
91,1978-11-01T00:00:00,PRCP,GHCND:USC00066655,",,,0",3.06,1978/1979
92,1978-11-01T00:00:00,SNOW,GHCND:USC00066655,"1,T,,0",0.0,1978/1979
93,1978-11-01T00:00:00,PRCP,GHCND:USC00066966,",,,0",2.49,1978/1979
94,1978-11-01T00:00:00,PRCP,GHCND:USC00067002,",,,0",2.04,1978/1979
95,1978-11-01T00:00:00,PRCP,GHCND:USC00067157,",,,0",3.02,1978/1979
96,1978-11-01T00:00:00,EMNT,GHCND:USC00067373,",0,28,+",15.0,1978/1979
97,1978-11-01T00:00:00,EMXT,GHCND:USC00067373,",0,07,",70.0,1978/1979
98,1978-11-01T00:00:00,PRCP,GHCND:USC00067373,",,,0",2.01,1978/1979
99,1978-11-01T00:00:00,SNOW,GHCND:USC00067373,",,,0",7.0,1978/1979
100,1978-11-01T00:00:00,TAVG,GHCND:USC00067373,",0",41.3,1978/1979
101,1978-11-01T00:00:00,TMAX,GHCND:USC00067373,",,,0",51.2,1978/1979
102,1978-11-01T00:00:00,TMIN,GHCND:USC00067373,",,,0",31.4,1978/1979
103,1978-11-01T00:00:00,PRCP,GHCND:USC00067432,",,,0",2.75,1978/1979
104,1978-11-01T00:00:00,SNOW,GHCND:USC00067432,",,,0",4.0,1978/1979
105,1978-11-01T00:00:00,PRCP,GHCND:USC00067959,",,,0",1.8,1978/1979
106,1978-11-01T00:00:00,EMNT,GHCND:USC00067970,",0,27,+",20.0,1978/1979
107,1978-11-01T00:00:00,EMXT,GHCND:USC00067970,",0,06,+",69.0,1978/1979
108,1978-11-01T00:00:00,PRCP,GHCND:USC00067970,",,,0",3.09,1978/1979
109,1978-11-01T00:00:00,SNOW,GHCND:USC00067970,",,,0",2.0,1978/1979
110,1978-11-01T00:00:00,TAVG,GHCND:USC00067970,",0",44.4,1978/1979
111,1978-11-01T00:00:00,TMAX,GHCND:USC00067970,",,,0",54.2,1978/1979
112,1978-11-01T00:00:00,TMIN,GHCND:USC00067970,",,,0",34.6,1978/1979
113,1978-11-01T00:00:00,PRCP,GHCND:USC00068065,",,,0",2.54,1978/1979
114,1978-11-01T00:00:00,SNOW,GHCND:USC00068065,"3,,,0",0.0,1978/1979
115,1978-11-01T00:00:00,EMNT,GHCND:USC00068138,",0,26,",15.0,1978/1979
116,1978-11-01T00:00:00,EMXT,GHCND:USC00068138,",0,07,",69.0,1978/1979
117,1978-11-01T00:00:00,PRCP,GHCND:USC00068138,",,,0",2.44,1978/1979
118,1978-11-01T00:00:00,SNOW,GHCND:USC00068138,",,,0",6.5,1978/1979
119,1978-11-01T00:00:00,TAVG,GHCND:USC00068138,",0",41.7,1978/1979
120,1978-11-01T00:00:00,TMAX,GHCND:USC00068138,",,,0",50.8,1978/1979
121,1978-11-01T00:00:00,TMIN,GHCND:USC00068138,",,,0",32.7,1978/1979
122,1978-11-01T00:00:00,PRCP,GHCND:USC00068436,",,,0",2.06,1978/1979
123,1978-11-01T00:00:00,PRCP,GHCND:USC00069162,",,,0",2.78,1978/1979
124,1978-11-01T00:00:00,EMNT,GHCND:USC00069388,",0,26,",15.0,1978/1979
125,1978-11-01T00:00:00,EMXT,GHCND:USC00069388,",0,07,",71.0,1978/1979
126,1978-11-01T00:00:00,PRCP,GHCND:USC00069388,",,,0",2.38,1978/1979
127,1978-11-01T00:00:00,SNOW,GHCND:USC00069388,",,,0",4.5,1978/1979
128,1978-11-01T00:00:00,TAVG,GHCND:USC00069388,",0",39.6,1978/1979
129,1978-11-01T00:00:00,TMAX,GHCND:USC00069388,",,,0",51.2,1978/1979
130,1978-11-01T00:00:00,TMIN,GHCND:USC00069388,",,,0",28.1,1978/1979
131,1978-11-01T00:00:00,EMNT,GHCND:USC00069568,",0,26,",9.0,1978/1979
132,1978-11-01T00:00:00,EMXT,GHCND:USC00069568,",0,07,",66.0,1978/1979
133,1978-11-01T00:00:00,PRCP,GHCND:USC00069568,",,,0",1.76,1978/1979
134,1978-11-01T00:00:00,SNOW,GHCND:USC00069568,",,,0",3.5,1978/1979
135,1978-11-01T00:00:00,TAVG,GHCND:USC00069568,",0",40.2,1978/1979
136,1978-11-01T00:00:00,TMAX,GHCND:USC00069568,",,,0",52.0,1978/1979
137,1978-11-01T00:00:00,TMIN,GHCND:USC00069568,",,,0",28.4,1978/1979
138,1978-11-01T00:00:00,PRCP,GHCND:USC00069775,",,,0",2.03,1978/1979
139,1978-11-01T00:00:00,SNOW,GHCND:USC00069775,",,,0",4.0,1978/1979
140,1978-11-01T00:00:00,EMNT,GHCND:USW00014740,",X,26,",13.0,1978/1979
141,1978-11-01T00:00:00,EMXT,GHCND:USW00014740,",X,18,+",67.0,1978/1979
142,1978-11-01T00:00:00,PRCP,GHCND:USW00014740,",,,X",2.12,1978/1979
143,1978-11-01T00:00:00,SNOW,GHCND:USW00014740,",,,X",4.3,1978/1979
144,1978-11-01T00:00:00,TAVG,GHCND:USW00014740,",X",38.6,1978/1979
145,1978-11-01T00:00:00,TMAX,GHCND:USW00014740,",,,X",48.9,1978/1979
146,1978-11-01T00:00:00,TMIN,GHCND:USW00014740,",,,X",28.2,1978/1979
147,1978-11-01T00:00:00,EMNT,GHCND:USW00014752,",0,28,+",18.0,1978/1979
148,1978-11-01T00:00:00,EMXT,GHCND:USW00014752,",0,19,+",68.0,1978/1979
149,1978-11-01T00:00:00,PRCP,GHCND:USW00014752,",,,0",2.03,1978/1979
150,1978-11-01T00:00:00,SNOW,GHCND:USW00014752,",,,0",3.0,1978/1979
151,1978-11-01T00:00:00,TAVG,GHCND:USW00014752,",0",42.5,1978/1979
152,1978-11-01T00:00:00,TMAX,GHCND:USW00014752,",,,0",53.6,1978/1979
153,1978-11-01T00:00:00,TMIN,GHCND:USW00014752,",,,0",31.5,1978/1979
154,1978-11-01T00:00:00,EMNT,GHCND:USW00094702,",0,26,",22.0,1978/1979
155,1978-11-01T00:00:00,EMXT,GHCND:USW00094702,",0,18,",69.0,1978/1979
156,1978-11-01T00:00:00,PRCP,GHCND:USW00094702,",,,0",1.75,1978/1979
157,1978-11-01T00:00:00,SNOW,GHCND:USW00094702,",,,0",2.2,1978/1979
158,1978-11-01T00:00:00,TAVG,GHCND:USW00094702,",0",47.2,1978/1979
159,1978-11-01T00:00:00,TMAX,GHCND:USW00094702,",,,0",54.5,1978/1979
160,1978-11-01T00:00:00,TMIN,GHCND:USW00094702,",,,0",39.9,1978/1979
161,1978-12-01T00:00:00,PRCP,GHCND:USC00060128,",,,0",4.5,1978/1979
162,1978-12-01T00:00:00,PRCP,GHCND:USC00060299,",,,0",3.68,1978/1979
163,1978-12-01T00:00:00,PRCP,GHCND:USC00060918,",,,0",4.97,1978/1979
164,1978-12-01T00:00:00,SNOW,GHCND:USC00060918,",,,0",7.0,1978/1979
165,1978-12-01T00:00:00,EMNT,GHCND:USC00060961,"1,0,12,+",10.0,1978/1979
166,1978-12-01T00:00:00,EMXT,GHCND:USC00060961,",0,04,",64.0,1978/1979
167,1978-12-01T00:00:00,PRCP,GHCND:USC00060961,",,,0",3.57,1978/1979
168,1978-12-01T00:00:00,TAVG,GHCND:USC00060961,"1,0",29.9,1978/1979
169,1978-12-01T00:00:00,TMAX,GHCND:USC00060961,",,,0",39.9,1978/1979
170,1978-12-01T00:00:00,TMIN,GHCND:USC00060961,"1,,,0",20.0,1978/1979
171,1978-12-01T00:00:00,EMNT,GHCND:USC00060973,"1,0,12,",10.0,1978/1979
172,1978-12-01T00:00:00,EMXT,GHCND:USC00060973,"1,0,05,",61.0,1978/1979
173,1978-12-01T00:00:00,PRCP,GHCND:USC00060973,"1,,,0",3.56,1978/1979
174,1978-12-01T00:00:00,TAVG,GHCND:USC00060973,"1,0",30.4,1978/1979
175,1978-12-01T00:00:00,TMAX,GHCND:USC00060973,"1,,,0",39.6,1978/1979
176,1978-12-01T00:00:00,TMIN,GHCND:USC00060973,"1,,,0",21.1,1978/1979
177,1978-12-01T00:00:00,PRCP,GHCND:USC00061488,",,,0",3.8,1978/1979
178,1978-12-01T00:00:00,SNOW,GHCND:USC00061488,"1,,,0",3.0,1978/1979
179,1978-12-01T00:00:00,EMNT,GHCND:USC00061689,",0,11,",3.0,1978/1979
180,1978-12-01T00:00:00,EMXT,GHCND:USC00061689,",0,05,",62.0,1978/1979
181,1978-12-01T00:00:00,PRCP,GHCND:USC00061689,",,,0",4.46,1978/1979
182,1978-12-01T00:00:00,SNOW,GHCND:USC00061689,",,,0",9.5,1978/1979
183,1978-12-01T00:00:00,TAVG,GHCND:USC00061689,",0",29.3,1978/1979
184,1978-12-01T00:00:00,TMAX,GHCND:USC00061689,",,,0",39.9,1978/1979
185,1978-12-01T00:00:00,TMIN,GHCND:USC00061689,",,,0",18.7,1978/1979
186,1978-12-01T00:00:00,EMNT,GHCND:USC00061762,",0,29,",12.0,1978/1979
187,1978-12-01T00:00:00,EMXT,GHCND:USC00061762,",0,04,",68.0,1978/1979
188,1978-12-01T00:00:00,PRCP,GHCND:USC00061762,",,,0",4.06,1978/1979
189,1978-12-01T00:00:00,SNOW,GHCND:USC00061762,",,,0",4.0,1978/1979
190,1978-12-01T00:00:00,TAVG,GHCND:USC00061762,",0",33.0,1978/1979
191,1978-12-01T00:00:00,TMAX,GHCND:USC00061762,",,,0",41.6,1978/1979
