,date,datatype,station,attributes,value,season
0,1978-11-01T00:00:00,EMNT,GHCND:USC00374266,",0,27,",17.0,1978/1979
1,1978-11-01T00:00:00,EMXT,GHCND:USC00374266,",0,18,",68.0,1978/1979
2,1978-11-01T00:00:00,PRCP,GHCND:USC00374266,",,,0",4.02,1978/1979
3,1978-11-01T00:00:00,SNOW,GHCND:USC00374266,",,,0",1.5,1978/1979
4,1978-11-01T00:00:00,TAVG,GHCND:USC00374266,",0",42.3,1978/1979
5,1978-11-01T00:00:00,TMAX,GHCND:USC00374266,",,,0",52.4,1978/1979
6,1978-11-01T00:00:00,TMIN,GHCND:USC00374266,",,,0",32.2,1978/1979
7,1978-11-01T00:00:00,EMNT,GHCND:USC00375215,",0,27,",19.0,1978/1979
8,1978-11-01T00:00:00,EMXT,GHCND:USC00375215,",0,10,+",62.0,1978/1979
9,1978-11-01T00:00:00,PRCP,GHCND:USC00375215,",,,0",3.59,1978/1979
10,1978-11-01T00:00:00,SNOW,GHCND:USC00375215,",,,0",1.5,1978/1979
11,1978-11-01T00:00:00,TAVG,GHCND:USC00375215,",0",44.5,1978/1979
12,1978-11-01T00:00:00,TMAX,GHCND:USC00375215,",,,0",51.6,1978/1979
13,1978-11-01T00:00:00,TMIN,GHCND:USC00375215,",,,0",37.3,1978/1979
14,1978-11-01T00:00:00,EMNT,GHCND:USC00375270,",0,26,",15.0,1978/1979
15,1978-11-01T00:00:00,EMXT,GHCND:USC00375270,",0,06,",68.0,1978/1979
16,1978-11-01T00:00:00,PRCP,GHCND:USC00375270,",,,0",2.22,1978/1979
17,1978-11-01T00:00:00,SNOW,GHCND:USC00375270,",,,0",4.8,1978/1979
18,1978-11-01T00:00:00,TAVG,GHCND:USC00375270,",0",40.4,1978/1979
19,1978-11-01T00:00:00,TMAX,GHCND:USC00375270,",,,0",49.4,1978/1979
20,1978-11-01T00:00:00,TMIN,GHCND:USC00375270,",,,0",31.4,1978/1979
21,1978-11-01T00:00:00,PRCP,GHCND:USC00379423,",,,0",2.19,1978/1979
22,1978-11-01T00:00:00,SNOW,GHCND:USC00379423,",,,0",4.8,1978/1979
23,1978-11-01T00:00:00,EMNT,GHCND:USW00014765,",0,27,",18.0,1978/1979
24,1978-11-01T00:00:00,EMXT,GHCND:USW00014765,",0,18,",69.0,1978/1979
25,1978-11-01T00:00:00,PRCP,GHCND:USW00014765,",,,0",2.61,1978/1979
26,1978-11-01T00:00:00,SNOW,GHCND:USW00014765,",,,0",2.3,1978/1979
27,1978-11-01T00:00:00,TAVG,GHCND:USW00014765,",0",42.3,1978/1979
28,1978-11-01T00:00:00,TMAX,GHCND:USW00014765,",,,0",50.7,1978/1979
29,1978-11-01T00:00:00,TMIN,GHCND:USW00014765,",,,0",33.9,1978/1979
30,1978-11-01T00:00:00,EMNT,GHCND:USW00094793,",0,27,+",23.0,1978/1979
31,1978-11-01T00:00:00,EMXT,GHCND:USW00094793,",0,18,",63.0,1978/1979
32,1978-11-01T00:00:00,PRCP,GHCND:USW00094793,",,,0",1.78,1978/1979
33,1978-11-01T00:00:00,SNOW,GHCND:USW00094793,",T,,0",0.0,1978/1979
34,1978-11-01T00:00:00,TAVG,GHCND:USW00094793,",0",46.4,1978/1979
