,date,datatype,station,attributes,value
0,2009-11-01T00:00:00,PRCP,GHCND:US1CAAL0001,",a,,N",0.8
1,2009-11-01T00:00:00,SNOW,GHCND:US1CAAL0001,"5,,,N",0.0
2,2009-11-01T00:00:00,PRCP,GHCND:US1CAAL0002,",,,N",0.8
3,2009-11-01T00:00:00,PRCP,GHCND:US1CAAL0004,"1,,,N",0.42
4,2009-11-01T00:00:00,PRCP,GHCND:US1CAAM0002,",,,N",1.04
5,2009-11-01T00:00:00,PRCP,GHCND:US1CACC0001,",,,N",0.67
6,2009-11-01T00:00:00,SNOW,GHCND:US1CACC0001,"4,,,N",0.0
7,2009-11-01T00:00:00,PRCP,GHCND:US1CACC0003,"5,,,N",0.5
8,2009-11-01T00:00:00,PRCP,GHCND:US1CACC0004,"3,,,N",0.6
9,2009-11-01T00:00:00,PRCP,GHCND:US1CACC0008,"2,,,N",0.36
10,2009-11-01T00:00:00,PRCP,GHCND:US1CACC0010,",a,,N",0.69
11,2009-11-01T00:00:00,PRCP,GHCND:US1CACC0011,"1,,,N",0.74
12,2009-11-01T00:00:00,PRCP,GHCND:US1CACC0012,"3,,,N",0.23
13,2009-11-01T00:00:00,PRCP,GHCND:US1CACC0013,",,,N",0.14
14,2009-11-01T00:00:00,SNOW,GHCND:US1CACC0013,"3,,,N",0.0
15,2009-11-01T00:00:00,PRCP,GHCND:US1CACV0002,"2,,,N",0.54
16,2009-11-01T00:00:00,PRCP,GHCND:US1CACV0004,",,,N",1.26
17,2009-11-01T00:00:00,PRCP,GHCND:US1CADN0001,",a,,N",10.35
18,2009-11-01T00:00:00,PRCP,GHCND:US1CAED0001,",,,N",1.48
19,2009-11-01T00:00:00,PRCP,GHCND:US1CAED0002,",,,N",1.44
20,2009-11-01T00:00:00,PRCP,GHCND:US1CAED0003,",,,N",1.65
21,2009-11-01T00:00:00,SNOW,GHCND:US1CAED0003,"3,,,N",0.0
22,2009-11-01T00:00:00,PRCP,GHCND:US1CAED0007,",,,N",1.38
23,2009-11-01T00:00:00,PRCP,GHCND:US1CAFR0001,",,,N",0.0
24,2009-11-01T00:00:00,SNOW,GHCND:US1CAFR0001,",,,N",0.0
25,2009-11-01T00:00:00,PRCP,GHCND:US1CAFR0003,",,,N",0.34
26,2009-11-01T00:00:00,SNOW,GHCND:US1CAFR0003,"2,,,N",0.0
27,2009-11-01T00:00:00,PRCP,GHCND:US1CAFR0005,",,,N",0.23
28,2009-11-01T00:00:00,SNOW,GHCND:US1CAFR0005,"3,,,N",0.0
29,2009-11-01T00:00:00,PRCP,GHCND:US1CAHM0002,",,,N",5.53
30,2009-11-01T00:00:00,PRCP,GHCND:US1CAHM0003,",,,N",5.83
31,2009-11-01T00:00:00,SNOW,GHCND:US1CAHM0003,",,,N",0.0
32,2009-11-01T00:00:00,PRCP,GHCND:US1CAHM0004,",,,N",4.98
33,2009-11-01T00:00:00,PRCP,GHCND:US1CAHM0005,",,,N",5.96
34,2009-11-01T00:00:00,PRCP,GHCND:US1CAHM0006,",a,,N",5.55
35,2009-11-01T00:00:00,PRCP,GHCND:US1CAHM0007,",a,,N",7.17
36,2009-11-01T00:00:00,PRCP,GHCND:US1CAHM0009,",,,N",5.04
37,2009-11-01T00:00:00,PRCP,GHCND:US1CAHM0010,",,,N",4.87
