,date,datatype,station,attributes,value
0,1981-11-01T00:00:00,PRCP,GHCND:USC00060128,",,,0",1.75
1,1981-11-01T00:00:00,PRCP,GHCND:USC00060299,",,,0",2.43
2,1981-11-01T00:00:00,PRCP,GHCND:USC00060918,",,,0",3.29
3,1981-11-01T00:00:00,EMNT,GHCND:USC00060961,",0,13,",17.0
4,1981-11-01T00:00:00,EMXT,GHCND:USC00060961,",0,05,+",68.0
5,1981-11-01T00:00:00,PRCP,GHCND:USC00060961,",,,0",1.63
6,1981-11-01T00:00:00,SNOW,GHCND:USC00060961,",,,0",0.0
7,1981-11-01T00:00:00,TAVG,GHCND:USC00060961,",0",39.8
8,1981-11-01T00:00:00,TMAX,GHCND:USC00060961,",,,0",49.9
9,1981-11-01T00:00:00,TMIN,GHCND:USC00060961,",,,0",29.6
10,1981-11-01T00:00:00,PRCP,GHCND:USC00061488,",,,0",2.57
11,1981-11-01T00:00:00,SNOW,GHCND:USC00061488,",,,0",0.0
12,1981-11-01T00:00:00,EMNT,GHCND:USC00061762,",0,24,",18.0
13,1981-11-01T00:00:00,EMXT,GHCND:USC00061762,",0,02,",69.0
14,1981-11-01T00:00:00,PRCP,GHCND:USC00061762,",,,0",1.97
15,1981-11-01T00:00:00,SNOW,GHCND:USC00061762,",,,0",0.0
16,1981-11-01T00:00:00,TAVG,GHCND:USC00061762,",0",42.0
17,1981-11-01T00:00:00,TMAX,GHCND:USC00061762,",,,0",50.9
18,1981-11-01T00:00:00,TMIN,GHCND:USC00061762,",,,0",33.1
19,1981-11-01T00:00:00,PRCP,GHCND:USC00062169,",,,0",1.64
20,1981-11-01T00:00:00,SNOW,GHCND:USC00062169,",,,0",0.0
21,1981-11-01T00:00:00,EMNT,GHCND:USC00062658,",0,25,+",15.0
22,1981-11-01T00:00:00,EMXT,GHCND:USC00062658,",0,05,+",66.0
23,1981-11-01T00:00:00,PRCP,GHCND:USC00062658,",,,0",2.11
24,1981-11-01T00:00:00,SNOW,GHCND:USC00062658,",,,0",0.0
25,1981-11-01T00:00:00,TAVG,GHCND:USC00062658,",0",40.0
26,1981-11-01T00:00:00,TMAX,GHCND:USC00062658,",,,0",49.2
27,1981-11-01T00:00:00,TMIN,GHCND:USC00062658,",,,0",31.0
28,1981-11-01T00:00:00,EMNT,GHCND:USC00063207,",0,24,",23.0
29,1981-11-01T00:00:00,EMXT,GHCND:USC00063207,",0,04,+",66.0
30,1981-11-01T00:00:00,PRCP,GHCND:USC00063207,",,,0",2.61
31,1981-11-01T00:00:00,SNOW,GHCND:USC00063207,",,,0",0.0
32,1981-11-01T00:00:00,TAVG,GHCND:USC00063207,",0",43.7
33,1981-11-01T00:00:00,TMAX,GHCND:USC00063207,",,,0",53.2
34,1981-11-01T00:00:00,TMIN,GHCND:USC00063207,",,,0",34.2
35,1981-11-01T00:00:00,EMNT,GHCND:USC00064488,",0,24,",16.0
36,1981-11-01T00:00:00,EMXT,GHCND:USC00064488,",0,03,",69.0
37,1981-11-01T00:00:00,PRCP,GHCND:USC00064488,",,,0",2.78
38,1981-11-01T00:00:00,SNOW,GHCND:USC00064488,",,,0",0.0
39,1981-11-01T00:00:00,TAVG,GHCND:USC00064488,",0",41.4
40,1981-11-01T00:00:00,TMAX,GHCND:USC00064488,",,,0",51.8
41,1981-11-01T00:00:00,TMIN,GHCND:USC00064488,",,,0",31.1
42,1981-11-01T00:00:00,EMNT,GHCND:USC00064767,",0,24,+",23.0
43,1981-11-01T00:00:00,EMXT,GHCND:USC00064767,",0,03,",66.0
44,1981-11-01T00:00:00,PRCP,GHCND:USC00064767,",,,0",2.4
45,1981-11-01T00:00:00,SNOW,GHCND:USC00064767,",,,0",0.0
46,1981-11-01T00:00:00,TAVG,GHCND:USC00064767,",0",44.3
47,1981-11-01T00:00:00,TMAX,GHCND:USC00064767,",,,0",52.0
48,1981-11-01T00:00:00,TMIN,GHCND:USC00064767,",,,0",36.5
49,1981-11-01T00:00:00,EMNT,GHCND:USC00065077,",0,24,",18.0
50,1981-11-01T00:00:00,EMXT,GHCND:USC00065077,",0,02,",67.0
51,1981-11-01T00:00:00,PRCP,GHCND:USC00065077,",,,0",2.06
52,1981-11-01T00:00:00,SNOW,GHCND:USC00065077,",,,0",0.0
53,1981-11-01T00:00:00,TAVG,GHCND:USC00065077,",0",44.1
54,1981-11-01T00:00:00,TMAX,GHCND:USC00065077,",,,0",52.8
55,1981-11-01T00:00:00,TMIN,GHCND:USC00065077,",,,0",35.3
56,1981-11-01T00:00:00,PRCP,GHCND:USC00065266,",,,0",2.25
57,1981-11-01T00:00:00,SNOW,GHCND:USC00065266,",,,0",0.0
58,1981-11-01T00:00:00,EMNT,GHCND:USC00065445,",0,26,+",17.0
59,1981-11-01T00:00:00,EMXT,GHCND:USC00065445,",0,06,",61.0
60,1981-11-01T00:00:00,PRCP,GHCND:USC00065445,",,,0",2.56
61,1981-11-01T00:00:00,SNOW,GHCND:USC00065445,",,,0",1.5
62,1981-11-01T00:00:00,TAVG,GHCND:USC00065445,",0",36.7
63,1981-11-01T00:00:00,TMAX,GHCND:USC00065445,",,,0",43.8
