,date,datatype,station,attributes,value
0,2009-11-01T00:00:00,PRCP,GHCND:US1MABA0001,"1,,,N",2.68
1,2009-11-01T00:00:00,PRCP,GHCND:US1MABA0002,",,,N",2.43
2,2009-11-01T00:00:00,PRCP,GHCND:US1MABA0003,",,,N",2.1
3,2009-11-01T00:00:00,PRCP,GHCND:US1MABA0004,",,,N",2.82
4,2009-11-01T00:00:00,SNOW,GHCND:US1MABA0004,",,,N",0.0
5,2009-11-01T00:00:00,PRCP,GHCND:US1MABE0001,"3,,,N",3.87
6,2009-11-01T00:00:00,PRCP,GHCND:US1MABR0002,"1,,,N",4.36
7,2009-11-01T00:00:00,PRCP,GHCND:US1MABR0008,",,,N",4.22
8,2009-11-01T00:00:00,PRCP,GHCND:US1MABR0009,",,,N",3.33
9,2009-11-01T00:00:00,PRCP,GHCND:US1MABR0011,"1,,,N",3.61
10,2009-11-01T00:00:00,PRCP,GHCND:US1MADK0001,"4,,,N",1.64
11,2009-11-01T00:00:00,PRCP,GHCND:US1MAES0001,",,,N",4.94
12,2009-11-01T00:00:00,PRCP,GHCND:US1MAES0002,",,,N",4.69
13,2009-11-01T00:00:00,PRCP,GHCND:US1MAES0003,",,,N",4.07
14,2009-11-01T00:00:00,SNOW,GHCND:US1MAES0003,"3,,,N",0.0
15,2009-11-01T00:00:00,PRCP,GHCND:US1MAES0004,",,,N",4.63
16,2009-11-01T00:00:00,PRCP,GHCND:US1MAES0008,",,,N",4.25
17,2009-11-01T00:00:00,PRCP,GHCND:US1MAES0009,"3,,,N",4.2
18,2009-11-01T00:00:00,PRCP,GHCND:US1MAFR0001,"3,,,N",3.31
19,2009-11-01T00:00:00,PRCP,GHCND:US1MAMD0006,",,,N",4.49
20,2009-11-01T00:00:00,PRCP,GHCND:US1MAMD0007,",a,,N",3.86
21,2009-11-01T00:00:00,PRCP,GHCND:US1MANF0001,",,,N",4.5
22,2009-11-01T00:00:00,SNOW,GHCND:US1MANF0001,",,,N",0.0
23,2009-11-01T00:00:00,PRCP,GHCND:US1MAPL0002,",,,N",2.39
24,2009-11-01T00:00:00,PRCP,GHCND:US1MAPL0004,",,,N",2.71
25,2009-11-01T00:00:00,PRCP,GHCND:US1MAPL0005,",,,N",3.02
26,2009-11-01T00:00:00,PRCP,GHCND:US1MAPL0006,"1,a,,N",2.8
27,2009-11-01T00:00:00,PRCP,GHCND:US1MAPL0007,",,,N",1.02
28,2009-11-01T00:00:00,SNOW,GHCND:US1MAPL0007,"3,,,N",0.0
29,2009-11-01T00:00:00,PRCP,GHCND:US1MAPL0008,"1,a,,N",3.39
30,2009-11-01T00:00:00,PRCP,GHCND:US1MASF0001,"4,a,,N",3.64
31,2009-11-01T00:00:00,PRCP,GHCND:US1MAWR0001,"1,,,N",4.11
32,2009-11-01T00:00:00,EMNT,GHCND:USC00190120,",0,18,",23.0
33,2009-11-01T00:00:00,EMXT,GHCND:USC00190120,",0,10,+",68.0
