,date,datatype,station,attributes,value
0,1986-11-01T00:00:00,EMNT,GHCND:USC00170100,"1,0,21,+",8.0
1,1986-11-01T00:00:00,EMXT,GHCND:USC00170100,",0,09,",58.0
2,1986-11-01T00:00:00,PRCP,GHCND:USC00170100,",,,0",8.49
3,1986-11-01T00:00:00,SNOW,GHCND:USC00170100,",,,0",4.0
4,1986-11-01T00:00:00,TAVG,GHCND:USC00170100,"1,0",34.6
5,1986-11-01T00:00:00,TMAX,GHCND:USC00170100,",,,0",44.0
6,1986-11-01T00:00:00,TMIN,GHCND:USC00170100,"1,,,0",25.1
7,1986-11-01T00:00:00,EMNT,GHCND:USC00170200,",0,24,+",-9.0
8,1986-11-01T00:00:00,EMXT,GHCND:USC00170200,",0,10,",51.0
9,1986-11-01T00:00:00,PRCP,GHCND:USC00170200,",,,0",3.49
10,1986-11-01T00:00:00,TAVG,GHCND:USC00170200,",0",24.9
11,1986-11-01T00:00:00,TMAX,GHCND:USC00170200,",,,0",35.9
12,1986-11-01T00:00:00,TMIN,GHCND:USC00170200,",,,0",13.7
13,1986-11-01T00:00:00,EMNT,GHCND:USC00170480,",0,14,",11.0
14,1986-11-01T00:00:00,EMXT,GHCND:USC00170480,"1,0,09,",57.0
15,1986-11-01T00:00:00,PRCP,GHCND:USC00170480,",,,0",4.04
16,1986-11-01T00:00:00,TAVG,GHCND:USC00170480,"1,0",35.3
17,1986-11-01T00:00:00,TMAX,GHCND:USC00170480,"1,,,0",43.9
18,1986-11-01T00:00:00,TMIN,GHCND:USC00170480,",,,0",26.7
19,1986-11-01T00:00:00,PRCP,GHCND:USC00170578,",,,0",3.34
20,1986-11-01T00:00:00,SNOW,GHCND:USC00170578,"3,,,0",13.0
21,1986-11-01T00:00:00,PRCP,GHCND:USC00170600,",,,0",3.39
22,1986-11-01T00:00:00,PRCP,GHCND:USC00170655,",,,0",2.93
23,1986-11-01T00:00:00,SNOW,GHCND:USC00170655,"2,,,0",9.0
24,1986-11-01T00:00:00,EMNT,GHCND:USC00170814,",0,24,+",4.0
25,1986-11-01T00:00:00,EMXT,GHCND:USC00170814,",0,08,",52.0
26,1986-11-01T00:00:00,PRCP,GHCND:USC00170814,",,,0",3.3
27,1986-11-01T00:00:00,SNOW,GHCND:USC00170814,",,,0",15.1
28,1986-11-01T00:00:00,TAVG,GHCND:USC00170814,",0",28.0
29,1986-11-01T00:00:00,TMAX,GHCND:USC00170814,",,,0",36.4
30,1986-11-01T00:00:00,TMIN,GHCND:USC00170814,",,,0",19.7
31,1986-11-01T00:00:00,EMNT,GHCND:USC00170833,",0,23,",-8.0
32,1986-11-01T00:00:00,EMXT,GHCND:USC00170833,",0,09,",51.0
33,1986-11-01T00:00:00,PRCP,GHCND:USC00170833,",,,0",4.02
34,1986-11-01T00:00:00,SNOW,GHCND:USC00170833,",,,0",21.0
35,1986-11-01T00:00:00,TAVG,GHCND:USC00170833,",0",27.0
36,1986-11-01T00:00:00,TMAX,GHCND:USC00170833,",,,0",36.0
37,1986-11-01T00:00:00,TMIN,GHCND:USC00170833,",,,0",17.9
38,1986-11-01T00:00:00,EMNT,GHCND:USC00170844,"1,0,14,",7.0
39,1986-11-01T00:00:00,EMXT,GHCND:USC00170844,",0,02,",56.0
40,1986-11-01T00:00:00,PRCP,GHCND:USC00170844,",,,0",3.99
41,1986-11-01T00:00:00,SNOW,GHCND:USC00170844,",,,0",16.1
42,1986-11-01T00:00:00,TAVG,GHCND:USC00170844,"1,0",31.8
43,1986-11-01T00:00:00,TMAX,GHCND:USC00170844,",,,0",40.8
44,1986-11-01T00:00:00,TMIN,GHCND:USC00170844,"1,,,0",22.8
45,1986-11-01T00:00:00,EMNT,GHCND:USC00171472,"2,0,23,",-8.0
46,1986-11-01T00:00:00,EMXT,GHCND:USC00171472,"1,0,09,+",51.0
47,1986-11-01T00:00:00,PRCP,GHCND:USC00171472,",a,,0",2.48
48,1986-11-01T00:00:00,SNOW,GHCND:USC00171472,",,,0",25.2
49,1986-11-01T00:00:00,TAVG,GHCND:USC00171472,"3,0",25.1
50,1986-11-01T00:00:00,TMAX,GHCND:USC00171472,"1,,,0",33.7
51,1986-11-01T00:00:00,TMIN,GHCND:USC00171472,"2,,,0",16.5
52,1986-11-01T00:00:00,EMNT,GHCND:USC00171628,"3,0,13,",9.0
53,1986-11-01T00:00:00,EMXT,GHCND:USC00171628,",0,01,",54.0
54,1986-11-01T00:00:00,PRCP,GHCND:USC00171628,",,,0",5.12
55,1986-11-01T00:00:00,SNOW,GHCND:USC00171628,",,,0",9.0
56,1986-11-01T00:00:00,TAVG,GHCND:USC00171628,"3,0",30.9
57,1986-11-01T00:00:00,TMAX,GHCND:USC00171628,",,,0",39.6
58,1986-11-01T00:00:00,TMIN,GHCND:USC00171628,"3,,,0",22.2
59,1986-11-01T00:00:00,EMNT,GHCND:USC00171975,"2,0,20,",3.0
60,1986-11-01T00:00:00,EMXT,GHCND:USC00171975,",0,02,",52.0
61,1986-11-01T00:00:00,PRCP,GHCND:USC00171975,",,,0",3.04
62,1986-11-01T00:00:00,SNOW,GHCND:USC00171975,",,,0",13.9
63,1986-11-01T00:00:00,TAVG,GHCND:USC00171975,"2,0",27.7
64,1986-11-01T00:00:00,TMAX,GHCND:USC00171975,",,,0",37.4
65,1986-11-01T00:00:00,TMIN,GHCND:USC00171975,"2,,,0",18.0
66,1986-11-01T00:00:00,EMNT,GHCND:USC00172238,",0,21,+",7.0
67,1986-11-01T00:00:00,EMXT,GHCND:USC00172238,",0,02,",56.0
68,1986-11-01T00:00:00,PRCP,GHCND:USC00172238,",,,0",4.67
69,1986-11-01T00:00:00,SNOW,GHCND:USC00172238,",,,0",14.4
70,1986-11-01T00:00:00,TAVG,GHCND:USC00172238,",0",31.8
71,1986-11-01T00:00:00,TMAX,GHCND:USC00172238,",,,0",41.1
72,1986-11-01T00:00:00,TMIN,GHCND:USC00172238,",,,0",22.5
73,1986-11-01T00:00:00,EMNT,GHCND:USC00172426,",0,14,",11.0
74,1986-11-01T00:00:00,EMXT,GHCND:USC00172426,",0,09,",56.0
