,date,datatype,station,attributes,value
0,1983-11-01T00:00:00,PRCP,GHCND:USC00270100,",,,0",9.79
1,1983-11-01T00:00:00,SNOW,GHCND:USC00270100,",,,0",0.0
2,1983-11-01T00:00:00,EMNT,GHCND:USC00270681,",0,14,",8.0
3,1983-11-01T00:00:00,EMXT,GHCND:USC00270681,",0,02,+",59.0
4,1983-11-01T00:00:00,PRCP,GHCND:USC00270681,",,,0",7.43
5,1983-11-01T00:00:00,SNOW,GHCND:USC00270681,",,,0",5.9
6,1983-11-01T00:00:00,TAVG,GHCND:USC00270681,",0",35.5
7,1983-11-01T00:00:00,TMAX,GHCND:USC00270681,",,,0",43.4
8,1983-11-01T00:00:00,TMIN,GHCND:USC00270681,",,,0",27.7
9,1983-11-01T00:00:00,EMNT,GHCND:USC00270690,"1,0,15,+",11.0
10,1983-11-01T00:00:00,EMXT,GHCND:USC00270690,"1,0,02,",61.0
11,1983-11-01T00:00:00,PRCP,GHCND:USC00270690,",a,,0",9.43
12,1983-11-01T00:00:00,SNOW,GHCND:USC00270690,",,,0",8.0
13,1983-11-01T00:00:00,TAVG,GHCND:USC00270690,"1,0",35.0
14,1983-11-01T00:00:00,TMAX,GHCND:USC00270690,"1,,,0",43.1
15,1983-11-01T00:00:00,TMIN,GHCND:USC00270690,"1,,,0",26.9
16,1983-11-01T00:00:00,EMNT,GHCND:USC00270703,",0,20,",14.0
17,1983-11-01T00:00:00,EMXT,GHCND:USC00270703,",0,10,",55.0
18,1983-11-01T00:00:00,PRCP,GHCND:USC00270703,",,,0",6.64
19,1983-11-01T00:00:00,SNOW,GHCND:USC00270703,",,,0",12.0
20,1983-11-01T00:00:00,TAVG,GHCND:USC00270703,",0",34.1
21,1983-11-01T00:00:00,TMAX,GHCND:USC00270703,",,,0",40.5
22,1983-11-01T00:00:00,TMIN,GHCND:USC00270703,",,,0",27.8
23,1983-11-01T00:00:00,EMNT,GHCND:USC00270741,",0,14,",18.0
24,1983-11-01T00:00:00,EMXT,GHCND:USC00270741,",0,10,",64.0
25,1983-11-01T00:00:00,PRCP,GHCND:USC00270741,",,,0",10.23
26,1983-11-01T00:00:00,SNOW,GHCND:USC00270741,",,,0",1.0
27,1983-11-01T00:00:00,TAVG,GHCND:USC00270741,",0",38.4
28,1983-11-01T00:00:00,TMAX,GHCND:USC00270741,",,,0",46.5
29,1983-11-01T00:00:00,TMIN,GHCND:USC00270741,",,,0",30.3
30,1983-11-01T00:00:00,PRCP,GHCND:USC00270910,",,,0",8.95
31,1983-11-01T00:00:00,SNOW,GHCND:USC00270910,",,,0",3.0
32,1983-11-01T00:00:00,PRCP,GHCND:USC00271001,",,,0",9.68
33,1983-11-01T00:00:00,SNOW,GHCND:USC00271001,",,,0",2.5
34,1983-11-01T00:00:00,EMNT,GHCND:USC00271647,",0,14,",3.0
35,1983-11-01T00:00:00,EMXT,GHCND:USC00271647,"1,0,01,",59.0
36,1983-11-01T00:00:00,PRCP,GHCND:USC00271647,",,,0",7.0
37,1983-11-01T00:00:00,SNOW,GHCND:USC00271647,",,,0",15.0
38,1983-11-01T00:00:00,TAVG,GHCND:USC00271647,"1,0",33.8
39,1983-11-01T00:00:00,TMAX,GHCND:USC00271647,"1,,,0",41.8
40,1983-11-01T00:00:00,TMIN,GHCND:USC00271647,",,,0",25.8
41,1983-11-01T00:00:00,PRCP,GHCND:USC00271797,"1,a,,0",7.53
42,1983-11-01T00:00:00,SNOW,GHCND:USC00271797,",,,0",2.0
43,1983-11-01T00:00:00,EMNT,GHCND:USC00271950,",0,14,",17.0
44,1983-11-01T00:00:00,EMXT,GHCND:USC00271950,",0,09,",64.0
45,1983-11-01T00:00:00,PRCP,GHCND:USC00271950,",,,0",8.63
46,1983-11-01T00:00:00,SNOW,GHCND:USC00271950,",,,0",1.5
47,1983-11-01T00:00:00,TAVG,GHCND:USC00271950,",0",38.7
