,date,datatype,station,attributes,value
0,1996-11-01T00:00:00,EMNT,GHCND:USC00260150,",0,07,",25.0
1,1996-11-01T00:00:00,EMXT,GHCND:USC00260150,",0,11,+",80.0
2,1996-11-01T00:00:00,PRCP,GHCND:USC00260150,",,,0",0.35
3,1996-11-01T00:00:00,SNOW,GHCND:USC00260150,",,,0",0.0
4,1996-11-01T00:00:00,TAVG,GHCND:USC00260150,",0",53.6
5,1996-11-01T00:00:00,TMAX,GHCND:USC00260150,",,,0",67.2
6,1996-11-01T00:00:00,TMIN,GHCND:USC00260150,",,,0",40.0
7,1996-11-01T00:00:00,EMNT,GHCND:USC00260282,"1,0,30,",9.0
8,1996-11-01T00:00:00,EMXT,GHCND:USC00260282,",0,12,",72.0
9,1996-11-01T00:00:00,PRCP,GHCND:USC00260282,",,,0",1.34
10,1996-11-01T00:00:00,SNOW,GHCND:USC00260282,",,,0",4.7
11,1996-11-01T00:00:00,TAVG,GHCND:USC00260282,"1,0",39.0
12,1996-11-01T00:00:00,TMAX,GHCND:USC00260282,",,,0",54.5
13,1996-11-01T00:00:00,TMIN,GHCND:USC00260282,"1,,,0",23.5
14,1996-11-01T00:00:00,EMNT,GHCND:USC00260438,",0,30,",10.0
15,1996-11-01T00:00:00,EMXT,GHCND:USC00260438,"3,0,02,",65.0
16,1996-11-01T00:00:00,PRCP,GHCND:USC00260438,",,,0",2.1
17,1996-11-01T00:00:00,SNOW,GHCND:USC00260438,"1,,,0",0.0
18,1996-11-01T00:00:00,TAVG,GHCND:USC00260438,"3,0",35.8
19,1996-11-01T00:00:00,TMAX,GHCND:USC00260438,"3,,,0",47.1
20,1996-11-01T00:00:00,TMIN,GHCND:USC00260438,",,,0",24.4
21,1996-11-01T00:00:00,EMNT,GHCND:USC00260507,"3,0,05,",14.0
22,1996-11-01T00:00:00,EMXT,GHCND:USC00260507,"3,0,12,",66.0
23,1996-11-01T00:00:00,PRCP,GHCND:USC00260507,",,,0",1.78
24,1996-11-01T00:00:00,SNOW,GHCND:USC00260507,",,,0",0.0
25,1996-11-01T00:00:00,TAVG,GHCND:USC00260507,"3,0",40.1
26,1996-11-01T00:00:00,TMAX,GHCND:USC00260507,"3,,,0",50.9
27,1996-11-01T00:00:00,TMIN,GHCND:USC00260507,"3,,,0",29.3
28,1996-11-01T00:00:00,EMNT,GHCND:USC00260718,",0,16,",25.0
29,1996-11-01T00:00:00,EMXT,GHCND:USC00260718,",0,11,+",79.0
30,1996-11-01T00:00:00,PRCP,GHCND:USC00260718,",,,0",1.61
31,1996-11-01T00:00:00,SNOW,GHCND:USC00260718,",,,0",0.0
32,1996-11-01T00:00:00,TAVG,GHCND:USC00260718,",0",50.4
33,1996-11-01T00:00:00,TMAX,GHCND:USC00260718,",,,0",63.1
34,1996-11-01T00:00:00,TMIN,GHCND:USC00260718,",,,0",37.7
35,1996-11-01T00:00:00,EMNT,GHCND:USC00260795,",0,06,",9.0
36,1996-11-01T00:00:00,EMXT,GHCND:USC00260795,"3,0,19,",68.0
37,1996-11-01T00:00:00,PRCP,GHCND:USC00260795,",,,0",1.18
38,1996-11-01T00:00:00,SNOW,GHCND:USC00260795,",,,0",7.0
39,1996-11-01T00:00:00,TAVG,GHCND:USC00260795,"3,0",38.4
40,1996-11-01T00:00:00,TMAX,GHCND:USC00260795,"3,,,0",53.1
41,1996-11-01T00:00:00,TMIN,GHCND:USC00260795,",,,0",23.8
42,1996-11-01T00:00:00,EMNT,GHCND:USC00260800,"1,0,30,",-2.0
43,1996-11-01T00:00:00,EMXT,GHCND:USC00260800,",0,12,+",70.0
44,1996-11-01T00:00:00,PRCP,GHCND:USC00260800,",,,0",1.24
45,1996-11-01T00:00:00,SNOW,GHCND:USC00260800,",,,0",0.0
46,1996-11-01T00:00:00,TAVG,GHCND:USC00260800,"1,0",39.2
47,1996-11-01T00:00:00,TMAX,GHCND:USC00260800,",,,0",53.2
48,1996-11-01T00:00:00,TMIN,GHCND:USC00260800,"1,,,0",25.2
49,1996-11-01T00:00:00,EMNT,GHCND:USC00260955,",0,16,",13.0
50,1996-11-01T00:00:00,EMXT,GHCND:USC00260955,"3,0,20,",67.0
51,1996-11-01T00:00:00,PRCP,GHCND:USC00260955,",,,0",1.85
52,1996-11-01T00:00:00,SNOW,GHCND:USC00260955,",,,0",0.0
53,1996-11-01T00:00:00,TAVG,GHCND:USC00260955,"3,0",39.8
54,1996-11-01T00:00:00,TMAX,GHCND:USC00260955,"3,,,0",52.4
55,1996-11-01T00:00:00,TMIN,GHCND:USC00260955,",,,0",27.2
56,1996-11-01T00:00:00,EMNT,GHCND:USC00261071,",0,30,",41.0
57,1996-11-01T00:00:00,EMXT,GHCND:USC00261071,",0,11,+",74.0
58,1996-11-01T00:00:00,PRCP,GHCND:USC00261071,",,,0",0.84
59,1996-11-01T00:00:00,SNOW,GHCND:USC00261071,",,,0",0.0
60,1996-11-01T00:00:00,TAVG,GHCND:USC00261071,",0",58.3
61,1996-11-01T00:00:00,TMAX,GHCND:USC00261071,",,,0",65.7
62,1996-11-01T00:00:00,TMIN,GHCND:USC00261071,",,,0",50.8
63,1996-11-01T00:00:00,EMNT,GHCND:USC00261327,"4,0,30,+",31.0
64,1996-11-01T00:00:00,EMXT,GHCND:USC00261327,"4,0,11,",82.0
65,1996-11-01T00:00:00,PRCP,GHCND:USC00261327,",,,0",1.07
66,1996-11-01T00:00:00,TAVG,GHCND:USC00261327,"4,0",54.4
67,1996-11-01T00:00:00,TMAX,GHCND:USC00261327,"4,,,0",69.1
68,1996-11-01T00:00:00,TMIN,GHCND:USC00261327,"4,,,0",39.8
69,1996-11-01T00:00:00,EMNT,GHCND:USC00261358,"2,0,17,+",19.0
70,1996-11-01T00:00:00,EMXT,GHCND:USC00261358,"1,0,13,",76.0
71,1996-11-01T00:00:00,PRCP,GHCND:USC00261358,",,,0",1.24
72,1996-11-01T00:00:00,SNOW,GHCND:USC00261358,",,,0",0.0
73,1996-11-01T00:00:00,TAVG,GHCND:USC00261358,"3,0",43.1
74,1996-11-01T00:00:00,TMAX,GHCND:USC00261358,"1,,,0",58.3
75,1996-11-01T00:00:00,TMIN,GHCND:USC00261358,"2,,,0",27.9
76,1996-11-01T00:00:00,EMNT,GHCND:USC00261371,",0,07,",39.0
77,1996-11-01T00:00:00,EMXT,GHCND:USC00261371,",0,10,",82.0
78,1996-11-01T00:00:00,PRCP,GHCND:USC00261371,",,,0",0.77
79,1996-11-01T00:00:00,SNOW,GHCND:USC00261371,",,,0",0.0
80,1996-11-01T00:00:00,TAVG,GHCND:USC00261371,",0",59.6
81,1996-11-01T00:00:00,TMAX,GHCND:USC00261371,",,,0",72.3
82,1996-11-01T00:00:00,TMIN,GHCND:USC00261371,",,,0",46.9
83,1996-11-01T00:00:00,EMNT,GHCND:USC00261415,",0,30,",15.0
84,1996-11-01T00:00:00,EMXT,GHCND:USC00261415,",0,10,",60.0
85,1996-11-01T00:00:00,PRCP,GHCND:USC00261415,",,,0",1.7
86,1996-11-01T00:00:00,SNOW,GHCND:USC00261415,"3,T,,0",0.0
87,1996-11-01T00:00:00,TAVG,GHCND:USC00261415,",0",37.5
88,1996-11-01T00:00:00,TMAX,GHCND:USC00261415,",,,0",44.9
89,1996-11-01T00:00:00,TMIN,GHCND:USC00261415,",,,0",30.0
90,1996-11-01T00:00:00,EMNT,GHCND:USC00261485,"4,0,06,",14.0
91,1996-11-01T00:00:00,EMXT,GHCND:USC00261485,"2,0,12,",72.0
92,1996-11-01T00:00:00,PRCP,GHCND:USC00261485,",,,0",2.29
93,1996-11-01T00:00:00,SNOW,GHCND:USC00261485,",,,0",0.0
94,1996-11-01T00:00:00,TAVG,GHCND:USC00261485,"5,0",40.4
95,1996-11-01T00:00:00,TMAX,GHCND:USC00261485,"2,,,0",53.7
96,1996-11-01T00:00:00,TMIN,GHCND:USC00261485,"4,,,0",27.1
97,1996-11-01T00:00:00,EMNT,GHCND:USC00262119,"2,0,30,",15.0
98,1996-11-01T00:00:00,EMXT,GHCND:USC00262119,"5,0,11,",60.0
99,1996-11-01T00:00:00,PRCP,GHCND:USC00262119,",,,0",2.72
100,1996-11-01T00:00:00,SNOW,GHCND:USC00262119,"1,,,0",4.0
101,1996-11-01T00:00:00,TAVG,GHCND:USC00262119,"6,0",36.0
102,1996-11-01T00:00:00,TMAX,GHCND:USC00262119,"5,,,0",44.9
103,1996-11-01T00:00:00,TMIN,GHCND:USC00262119,"2,,,0",27.1
104,1996-11-01T00:00:00,EMNT,GHCND:USC00262189,",0,30,",-1.0
105,1996-11-01T00:00:00,EMXT,GHCND:USC00262189,"1,0,13,+",62.0
106,1996-11-01T00:00:00,PRCP,GHCND:USC00262189,",,,0",2.15
107,1996-11-01T00:00:00,SNOW,GHCND:USC00262189,",,,0",0.0
108,1996-11-01T00:00:00,TAVG,GHCND:USC00262189,"1,0",33.9
109,1996-11-01T00:00:00,TMAX,GHCND:USC00262189,"1,,,0",48.5
110,1996-11-01T00:00:00,TMIN,GHCND:USC00262189,",,,0",19.5
111,1996-11-01T00:00:00,EMNT,GHCND:USC00262229,",0,26,",17.0
112,1996-11-01T00:00:00,EMXT,GHCND:USC00262229,"2,0,11,+",66.0
113,1996-11-01T00:00:00,PRCP,GHCND:USC00262229,",,,0",0.72
114,1996-11-01T00:00:00,SNOW,GHCND:USC00262229,",,,0",1.5
115,1996-11-01T00:00:00,TAVG,GHCND:USC00262229,"2,0",41.3
116,1996-11-01T00:00:00,TMAX,GHCND:USC00262229,"2,,,0",52.3
117,1996-11-01T00:00:00,TMIN,GHCND:USC00262229,",,,0",30.3
118,1996-11-01T00:00:00,PRCP,GHCND:USC00262243,",,,0",0.57
119,1996-11-01T00:00:00,SNOW,GHCND:USC00262243,",,,0",0.0
120,1996-11-01T00:00:00,EMNT,GHCND:USC00262296,",0,06,",1.0
121,1996-11-01T00:00:00,EMXT,GHCND:USC00262296,"1,0,13,+",66.0
122,1996-11-01T00:00:00,PRCP,GHCND:USC00262296,",,,0",1.78
123,1996-11-01T00:00:00,SNOW,GHCND:USC00262296,",,,0",0.0
124,1996-11-01T00:00:00,TAVG,GHCND:USC00262296,"1,0",35.9
125,1996-11-01T00:00:00,TMAX,GHCND:USC00262296,"1,,,0",51.8
126,1996-11-01T00:00:00,TMIN,GHCND:USC00262296,",,,0",20.0
127,1996-11-01T00:00:00,EMNT,GHCND:USC00262390,",0,30,",13.0
128,1996-11-01T00:00:00,EMXT,GHCND:USC00262390,"1,0,11,",63.0
129,1996-11-01T00:00:00,PRCP,GHCND:USC00262390,"1,,,0",0.53
130,1996-11-01T00:00:00,SNOW,GHCND:USC00262390,",,,0",2.5
131,1996-11-01T00:00:00,TAVG,GHCND:USC00262390,"1,0",38.5
132,1996-11-01T00:00:00,TMAX,GHCND:USC00262390,"1,,,0",51.4
133,1996-11-01T00:00:00,TMIN,GHCND:USC00262390,",,,0",25.6
134,1996-11-01T00:00:00,PRCP,GHCND:USC00262394,",a,,0",0.27
135,1996-11-01T00:00:00,SNOW,GHCND:USC00262394,",,,0",0.0
136,1996-11-01T00:00:00,EMNT,GHCND:USC00262431,"3,0,16,",15.0
137,1996-11-01T00:00:00,EMXT,GHCND:USC00262431,"1,0,11,+",72.0
138,1996-11-01T00:00:00,PRCP,GHCND:USC00262431,"1,,,0",0.25
139,1996-11-01T00:00:00,SNOW,GHCND:USC00262431,",,,0",0.1
140,1996-11-01T00:00:00,TAVG,GHCND:USC00262431,"4,0",42.6
141,1996-11-01T00:00:00,TMAX,GHCND:USC00262431,"1,,,0",57.7
142,1996-11-01T00:00:00,TMIN,GHCND:USC00262431,"3,,,0",27.5
143,1996-11-01T00:00:00,EMNT,GHCND:USC00262497,"2,0,30,",33.0
144,1996-11-01T00:00:00,EMXT,GHCND:USC00262497,",0,10,",78.0
145,1996-11-01T00:00:00,PRCP,GHCND:USC00262497,",,,0",0.94
146,1996-11-01T00:00:00,SNOW,GHCND:USC00262497,",,,0",0.0
147,1996-11-01T00:00:00,TAVG,GHCND:USC00262497,"2,0",56.4
148,1996-11-01T00:00:00,TMAX,GHCND:USC00262497,",,,0",68.4
149,1996-11-01T00:00:00,TMIN,GHCND:USC00262497,"2,,,0",44.5
150,1996-11-01T00:00:00,EMNT,GHCND:USC00262557,",0,07,",26.0
151,1996-11-01T00:00:00,EMXT,GHCND:USC00262557,",0,12,+",77.0
152,1996-11-01T00:00:00,PRCP,GHCND:USC00262557,",,,0",1.51
153,1996-11-01T00:00:00,SNOW,GHCND:USC00262557,",,,0",0.0
154,1996-11-01T00:00:00,TAVG,GHCND:USC00262557,",0",49.2
155,1996-11-01T00:00:00,TMAX,GHCND:USC00262557,",,,0",62.2
156,1996-11-01T00:00:00,TMIN,GHCND:USC00262557,",,,0",36.2
157,1996-11-01T00:00:00,EMNT,GHCND:USC00262708,"4,0,30,",6.0
158,1996-11-01T00:00:00,EMXT,GHCND:USC00262708,"1,0,13,+",65.0
159,1996-11-01T00:00:00,PRCP,GHCND:USC00262708,",,,0",1.23
160,1996-11-01T00:00:00,SNOW,GHCND:USC00262708,",,,0",0.0
161,1996-11-01T00:00:00,TAVG,GHCND:USC00262708,"5,0",37.0
162,1996-11-01T00:00:00,TMAX,GHCND:USC00262708,"1,,,0",48.2
163,1996-11-01T00:00:00,TMIN,GHCND:USC00262708,"4,,,0",25.8
164,1996-11-01T00:00:00,EMNT,GHCND:USC00262780,",0,06,",19.0
165,1996-11-01T00:00:00,EMXT,GHCND:USC00262780,",0,13,",72.0
166,1996-11-01T00:00:00,PRCP,GHCND:USC00262780,",,,0",0.67
167,1996-11-01T00:00:00,SNOW,GHCND:USC00262780,",,,0",0.0
168,1996-11-01T00:00:00,TAVG,GHCND:USC00262780,",0",43.2
169,1996-11-01T00:00:00,TMAX,GHCND:USC00262780,",,,0",56.8
170,1996-11-01T00:00:00,TMIN,GHCND:USC00262780,",,,0",29.5
171,1996-11-01T00:00:00,EMNT,GHCND:USC00263090,"4,0,27,",18.0
172,1996-11-01T00:00:00,EMXT,GHCND:USC00263090,",0,14,+",66.0
173,1996-11-01T00:00:00,PRCP,GHCND:USC00263090,",,,0",0.66
174,1996-11-01T00:00:00,SNOW,GHCND:USC00263090,",,,0",3.5
175,1996-11-01T00:00:00,TAVG,GHCND:USC00263090,"4,0",41.0
176,1996-11-01T00:00:00,TMAX,GHCND:USC00263090,",,,0",53.1
177,1996-11-01T00:00:00,TMIN,GHCND:USC00263090,"4,,,0",28.8
178,1996-11-01T00:00:00,EMNT,GHCND:USC00263114,",0,30,",2.0
179,1996-11-01T00:00:00,EMXT,GHCND:USC00263114,",0,11,+",63.0
