,date,datatype,station,attributes,value
0,2013-11-01T00:00:00,PRCP,GHCND:US1NYAB0001,",,,N",2.3
1,2013-11-01T00:00:00,SNOW,GHCND:US1NYAB0001,"5,,,N",4.7
2,2013-11-01T00:00:00,PRCP,GHCND:US1NYAB0006,",,,N",1.89
3,2013-11-01T00:00:00,PRCP,GHCND:US1NYAB0010,"5,,,N",2.24
4,2013-11-01T00:00:00,PRCP,GHCND:US1NYAB0021,"1,,,N",1.8
5,2013-11-01T00:00:00,SNOW,GHCND:US1NYAB0021,"4,,,N",1.6
6,2013-11-01T00:00:00,PRCP,GHCND:US1NYAB0023,"1,,,N",1.84
7,2013-11-01T00:00:00,PRCP,GHCND:US1NYAB0028,",,,N",2.31
8,2013-11-01T00:00:00,SNOW,GHCND:US1NYAB0028,",,,N",1.9
9,2013-11-01T00:00:00,PRCP,GHCND:US1NYAB0032,"4,,,N",2.27
10,2013-11-01T00:00:00,PRCP,GHCND:US1NYAL0002,",,,N",4.33
11,2013-11-01T00:00:00,PRCP,GHCND:US1NYBM0004,",,,N",3.89
12,2013-11-01T00:00:00,PRCP,GHCND:US1NYBM0007,",,,N",3.17
13,2013-11-01T00:00:00,PRCP,GHCND:US1NYBM0011,"4,,,N",3.3
14,2013-11-01T00:00:00,PRCP,GHCND:US1NYBM0014,"2,,,N",3.83
15,2013-11-01T00:00:00,SNOW,GHCND:US1NYBM0014,"2,,,N",10.3
16,2013-11-01T00:00:00,PRCP,GHCND:US1NYBM0021,"1,a,,N",3.76
17,2013-11-01T00:00:00,PRCP,GHCND:US1NYBM0024,",,,N",3.52
18,2013-11-01T00:00:00,PRCP,GHCND:US1NYCB0001,",a,,N",3.34
19,2013-11-01T00:00:00,PRCP,GHCND:US1NYCB0008,",,,N",3.26
20,2013-11-01T00:00:00,PRCP,GHCND:US1NYCL0007,"3,a,,N",2.4
21,2013-11-01T00:00:00,PRCP,GHCND:US1NYCM0003,",,,N",2.91
22,2013-11-01T00:00:00,PRCP,GHCND:US1NYCM0006,"5,,,N",2.36
23,2013-11-01T00:00:00,PRCP,GHCND:US1NYCM0008,"1,,,N",2.95
24,2013-11-01T00:00:00,PRCP,GHCND:US1NYCN0002,",,,N",5.09
25,2013-11-01T00:00:00,PRCP,GHCND:US1NYCN0008,",,,N",4.36
26,2013-11-01T00:00:00,PRCP,GHCND:US1NYCN0009,",,,N",4.82
27,2013-11-01T00:00:00,SNOW,GHCND:US1NYCN0009,"1,,,N",15.8
28,2013-11-01T00:00:00,SNOW,GHCND:US1NYCQ0019,"3,,,N",13.1
29,2013-11-01T00:00:00,SNOW,GHCND:US1NYCR0001,"4,,,N",12.9
30,2013-11-01T00:00:00,PRCP,GHCND:US1NYCR0003,",,,N",5.27
31,2013-11-01T00:00:00,PRCP,GHCND:US1NYCR0005,",,,N",5.21
32,2013-11-01T00:00:00,PRCP,GHCND:US1NYCR0008,"4,,,N",5.12
33,2013-11-01T00:00:00,PRCP,GHCND:US1NYCR0010,",,,N",4.58
34,2013-11-01T00:00:00,PRCP,GHCND:US1NYCT0005,",,,N",4.5
35,2013-11-01T00:00:00,PRCP,GHCND:US1NYCT0011,"1,,,N",4.53
36,2013-11-01T00:00:00,PRCP,GHCND:US1NYCT0015,"5,,,N",2.72
37,2013-11-01T00:00:00,SNOW,GHCND:US1NYCT0015,"4,,,N",15.0
38,2013-11-01T00:00:00,PRCP,GHCND:US1NYCY0002,",,,N",3.89
39,2013-11-01T00:00:00,SNOW,GHCND:US1NYCY0002,",,,N",12.6
40,2013-11-01T00:00:00,PRCP,GHCND:US1NYCY0005,"2,,,N",5.04
41,2013-11-01T00:00:00,PRCP,GHCND:US1NYCY0008,",,,N",3.91
42,2013-11-01T00:00:00,PRCP,GHCND:US1NYDL0005,",,,N",4.59
43,2013-11-01T00:00:00,SNOW,GHCND:US1NYDL0005,",,,N",14.6
44,2013-11-01T00:00:00,PRCP,GHCND:US1NYDL0009,",,,N",5.11
45,2013-11-01T00:00:00,PRCP,GHCND:US1NYDL0023,",,,N",4.87
46,2013-11-01T00:00:00,SNOW,GHCND:US1NYDL0023,"2,,,N",7.7
47,2013-11-01T00:00:00,PRCP,GHCND:US1NYDL0024,",a,,N",4.41
48,2013-11-01T00:00:00,PRCP,GHCND:US1NYDL0025,",,,N",4.0
49,2013-11-01T00:00:00,PRCP,GHCND:US1NYDT0004,"2,,,N",3.21
50,2013-11-01T00:00:00,PRCP,GHCND:US1NYDT0005,",a,,N",2.84
51,2013-11-01T00:00:00,PRCP,GHCND:US1NYDT0008,"1,,,N",3.55
52,2013-11-01T00:00:00,PRCP,GHCND:US1NYDT0010,",,,N",3.02
53,2013-11-01T00:00:00,PRCP,GHCND:US1NYDT0012,",,,N",3.21
54,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0007,"1,,,N",3.98
55,2013-11-01T00:00:00,SNOW,GHCND:US1NYER0007,"1,,,N",5.6
56,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0013,"4,,,N",3.97
57,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0050,",,,N",3.84
58,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0051,"2,,,N",3.31
59,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0053,",,,N",3.91
60,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0057,",,,N",4.01
61,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0059,",,,N",4.25
62,2013-11-01T00:00:00,SNOW,GHCND:US1NYER0059,",,,N",7.5
63,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0060,",,,N",4.52
64,2013-11-01T00:00:00,SNOW,GHCND:US1NYER0060,",,,N",10.8
65,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0063,",,,N",5.1
66,2013-11-01T00:00:00,SNOW,GHCND:US1NYER0063,",,,N",21.0
67,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0072,",,,N",4.07
68,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0075,",,,N",4.25
69,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0077,",,,N",4.97
70,2013-11-01T00:00:00,SNOW,GHCND:US1NYER0077,",,,N",21.1
71,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0083,"1,a,,N",3.59
72,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0095,",,,N",3.61
73,2013-11-01T00:00:00,SNOW,GHCND:US1NYER0095,"5,,,N",7.4
74,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0098,"3,,,N",4.19
75,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0100,"1,,,N",4.18
76,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0102,",,,N",3.83
77,2013-11-01T00:00:00,SNOW,GHCND:US1NYER0102,",,,N",10.0
78,2013-11-01T00:00:00,PRCP,GHCND:US1NYER0103,"3,a,,N",3.93
79,2013-11-01T00:00:00,PRCP,GHCND:US1NYES0001,"1,,,N",4.59
80,2013-11-01T00:00:00,SNOW,GHCND:US1NYES0001,"1,,,N",13.2
81,2013-11-01T00:00:00,PRCP,GHCND:US1NYES0005,",,,N",4.13
82,2013-11-01T00:00:00,SNOW,GHCND:US1NYES0005,"5,,,N",2.2
83,2013-11-01T00:00:00,PRCP,GHCND:US1NYFK0002,",,,N",5.99
84,2013-11-01T00:00:00,SNOW,GHCND:US1NYFK0002,"1,,,N",14.8
85,2013-11-01T00:00:00,PRCP,GHCND:US1NYGN0006,",,,N",3.63
86,2013-11-01T00:00:00,PRCP,GHCND:US1NYGR0005,"5,a,,N",2.65
87,2013-11-01T00:00:00,PRCP,GHCND:US1NYGR0006,",,,N",2.65
88,2013-11-01T00:00:00,SNOW,GHCND:US1NYGR0006,"3,,,N",1.0
89,2013-11-01T00:00:00,PRCP,GHCND:US1NYGR0007,"1,,,N",2.42
90,2013-11-01T00:00:00,PRCP,GHCND:US1NYHM0002,"4,,,N",4.11
91,2013-11-01T00:00:00,PRCP,GHCND:US1NYHR0012,"1,,,N",3.91
92,2013-11-01T00:00:00,PRCP,GHCND:US1NYJF0003,"5,,,N",3.88
93,2013-11-01T00:00:00,PRCP,GHCND:US1NYJF0007,",,,N",4.38
94,2013-11-01T00:00:00,PRCP,GHCND:US1NYJF0010,"5,,,N",2.29
95,2013-11-01T00:00:00,PRCP,GHCND:US1NYJF0011,"2,a,,N",5.37
96,2013-11-01T00:00:00,PRCP,GHCND:US1NYLV0005,"1,,,N",2.96
97,2013-11-01T00:00:00,PRCP,GHCND:US1NYLW0003,"3,,,N",6.2
98,2013-11-01T00:00:00,PRCP,GHCND:US1NYMD0009,",,,N",3.93
99,2013-11-01T00:00:00,PRCP,GHCND:US1NYMD0010,"1,,,N",4.74
100,2013-11-01T00:00:00,PRCP,GHCND:US1NYMD0011,",a,,N",3.64
101,2013-11-01T00:00:00,PRCP,GHCND:US1NYMD0014,",a,,N",4.78
102,2013-11-01T00:00:00,PRCP,GHCND:US1NYMD0016,",,,N",4.48
103,2013-11-01T00:00:00,PRCP,GHCND:US1NYMD0022,",,,N",3.96
104,2013-11-01T00:00:00,SNOW,GHCND:US1NYMD0022,"1,,,N",11.2
105,2013-11-01T00:00:00,PRCP,GHCND:US1NYMG0001,",,,N",2.48
106,2013-11-01T00:00:00,PRCP,GHCND:US1NYMG0002,"1,,,N",3.22
107,2013-11-01T00:00:00,PRCP,GHCND:US1NYMR0012,"4,,,N",3.3
108,2013-11-01T00:00:00,PRCP,GHCND:US1NYMR0015,",,,N",1.61
109,2013-11-01T00:00:00,PRCP,GHCND:US1NYMR0023,",,,N",3.35
110,2013-11-01T00:00:00,PRCP,GHCND:US1NYMR0029,"2,,,N",2.28
111,2013-11-01T00:00:00,PRCP,GHCND:US1NYMR0036,"5,a,,N",2.96
112,2013-11-01T00:00:00,PRCP,GHCND:US1NYNG0002,",,,N",3.9
113,2013-11-01T00:00:00,PRCP,GHCND:US1NYNG0011,",,,N",3.07
114,2013-11-01T00:00:00,SNOW,GHCND:US1NYNG0011,"1,,,N",7.1
115,2013-11-01T00:00:00,PRCP,GHCND:US1NYNG0012,",a,,N",4.17
116,2013-11-01T00:00:00,PRCP,GHCND:US1NYNG0017,",,,N",3.32
117,2013-11-01T00:00:00,PRCP,GHCND:US1NYNG0018,"4,,,N",3.07
118,2013-11-01T00:00:00,PRCP,GHCND:US1NYNS0006,",,,N",3.11
119,2013-11-01T00:00:00,PRCP,GHCND:US1NYNS0007,"3,a,,N",3.2
120,2013-11-01T00:00:00,PRCP,GHCND:US1NYOD0001,",,,N",7.69
121,2013-11-01T00:00:00,SNOW,GHCND:US1NYOD0001,"2,,,N",6.6
122,2013-11-01T00:00:00,PRCP,GHCND:US1NYOD0002,",,,N",9.23
123,2013-11-01T00:00:00,SNOW,GHCND:US1NYOD0002,",,,N",20.4
124,2013-11-01T00:00:00,PRCP,GHCND:US1NYOD0004,"3,a,,N",5.48
125,2013-11-01T00:00:00,PRCP,GHCND:US1NYOD0007,",,,N",6.55
