,date,datatype,station,attributes,value
0,2015-11-01T00:00:00,PRCP,GHCND:US1RINW0004,",,,N",1.69
1,2015-11-01T00:00:00,PRCP,GHCND:US1RINW0005,",,,N",2.71
2,2015-11-01T00:00:00,PRCP,GHCND:US1RINW0007,",,,N",2.94
3,2015-11-01T00:00:00,SNOW,GHCND:US1RINW0007,",,,N",0.0
4,2015-11-01T00:00:00,PRCP,GHCND:US1RINW0011,",,,N",2.63
5,2015-11-01T00:00:00,SNOW,GHCND:US1RINW0011,",,,N",0.0
6,2015-11-01T00:00:00,PRCP,GHCND:US1RIPR0017,"1,,,N",2.93
7,2015-11-01T00:00:00,PRCP,GHCND:US1RIPR0020,"3,,,N",2.54
8,2015-11-01T00:00:00,PRCP,GHCND:US1RIPR0032,",,,N",2.58
9,2015-11-01T00:00:00,PRCP,GHCND:US1RIPR0033,",,,N",2.24
10,2015-11-01T00:00:00,SNOW,GHCND:US1RIPR0033,",,,N",0.0
11,2015-11-01T00:00:00,PRCP,GHCND:US1RIPR0035,"1,,,N",2.37
12,2015-11-01T00:00:00,SNOW,GHCND:US1RIPR0035,"1,,,N",0.0
13,2015-11-01T00:00:00,PRCP,GHCND:US1RIWS0001,"1,,,N",2.59
14,2015-11-01T00:00:00,PRCP,GHCND:US1RIWS0020,"3,,,N",2.04
15,2015-11-01T00:00:00,PRCP,GHCND:US1RIWS0025,",,,N",3.51
16,2015-11-01T00:00:00,PRCP,GHCND:USC00370897,",,,7",3.0
17,2015-11-01T00:00:00,SNOW,GHCND:USC00370897,",,,7",0.0
18,2015-11-01T00:00:00,PRCP,GHCND:USC00371874,",a,,7",3.0
19,2015-11-01T00:00:00,SNOW,GHCND:USC00371874,",,,7",0.0
20,2015-11-01T00:00:00,PRCP,GHCND:USC00371875,",,,7",3.39
21,2015-11-01T00:00:00,SNOW,GHCND:USC00371875,",,,7",0.0
22,2015-11-01T00:00:00,EMNT,GHCND:USC00374266,",7,24,",15.0
23,2015-11-01T00:00:00,EMXT,GHCND:USC00374266,",7,05,",72.0
24,2015-11-01T00:00:00,PRCP,GHCND:USC00374266,",,,7",3.0
25,2015-11-01T00:00:00,SNOW,GHCND:USC00374266,",,,7",0.0
26,2015-11-01T00:00:00,TAVG,GHCND:USC00374266,",7",47.5
27,2015-11-01T00:00:00,TMAX,GHCND:USC00374266,",,,7",58.9
28,2015-11-01T00:00:00,TMIN,GHCND:USC00374266,",,,7",36.0
29,2015-11-01T00:00:00,EMNT,GHCND:USC00375270,",7,24,",20.0
30,2015-11-01T00:00:00,EMXT,GHCND:USC00375270,",7,03,",69.0
31,2015-11-01T00:00:00,PRCP,GHCND:USC00375270,",,,7",2.6
32,2015-11-01T00:00:00,SNOW,GHCND:USC00375270,",,,7",0.0
33,2015-11-01T00:00:00,TAVG,GHCND:USC00375270,",7",45.1
34,2015-11-01T00:00:00,TMAX,GHCND:USC00375270,",,,7",53.9
35,2015-11-01T00:00:00,TMIN,GHCND:USC00375270,",,,7",36.3
36,2015-11-01T00:00:00,EMNT,GHCND:USC00377581,",7,25,",26.0
37,2015-11-01T00:00:00,EMXT,GHCND:USC00377581,",7,05,",68.0
38,2015-11-01T00:00:00,PRCP,GHCND:USC00377581,",,,7",2.66
39,2015-11-01T00:00:00,SNOW,GHCND:USC00377581,",,,7",0.0
40,2015-11-01T00:00:00,TAVG,GHCND:USC00377581,",7",47.3
41,2015-11-01T00:00:00,TMAX,GHCND:USC00377581,",,,7",53.9
42,2015-11-01T00:00:00,TMIN,GHCND:USC00377581,",,,7",40.7
43,2015-11-01T00:00:00,EMNT,GHCND:USC00379423,"1,7,24,",19.0
44,2015-11-01T00:00:00,EMXT,GHCND:USC00379423,"1,7,04,",74.0
45,2015-11-01T00:00:00,PRCP,GHCND:USC00379423,",a,,7",2.66
46,2015-11-01T00:00:00,SNOW,GHCND:USC00379423,",,,7",0.0
47,2015-11-01T00:00:00,TAVG,GHCND:USC00379423,"1,7",45.9
48,2015-11-01T00:00:00,TMAX,GHCND:USC00379423,"1,,,7",56.9
