,date,datatype,station,attributes,value
0,1999-11-01T00:00:00,SNOW,GHCND:USC00430277,"2,,,0",2.0
1,1999-11-01T00:00:00,PRCP,GHCND:USC00430661,",,,0",2.75
2,1999-11-01T00:00:00,SNOW,GHCND:USC00430661,",,,0",2.5
3,1999-11-01T00:00:00,PRCP,GHCND:USC00430940,",,,0",2.76
4,1999-11-01T00:00:00,SNOW,GHCND:USC00430940,",,,0",10.0
5,1999-11-01T00:00:00,PRCP,GHCND:USC00431213,"1,,,0",3.48
6,1999-11-01T00:00:00,SNOW,GHCND:USC00431213,",,,0",11.5
7,1999-11-01T00:00:00,EMNT,GHCND:USC00431243,"1,0,12,",17.0
8,1999-11-01T00:00:00,EMXT,GHCND:USC00431243,",0,25,+",72.0
9,1999-11-01T00:00:00,PRCP,GHCND:USC00431243,",,,0",3.52
10,1999-11-01T00:00:00,SNOW,GHCND:USC00431243,",,,0",1.9
11,1999-11-01T00:00:00,TAVG,GHCND:USC00431243,"1,0",40.9
12,1999-11-01T00:00:00,TMAX,GHCND:USC00431243,",,,0",52.1
13,1999-11-01T00:00:00,TMIN,GHCND:USC00431243,"1,,,0",29.8
14,1999-11-01T00:00:00,EMXT,GHCND:USC00431360,",0,24,+",65.0
15,1999-11-01T00:00:00,PRCP,GHCND:USC00431360,",,,0",2.96
16,1999-11-01T00:00:00,SNOW,GHCND:USC00431360,"2,,,0",6.3
17,1999-11-01T00:00:00,TMAX,GHCND:USC00431360,",,,0",48.0
18,1999-11-01T00:00:00,PRCP,GHCND:USC00431433,",,,0",3.3
19,1999-11-01T00:00:00,SNOW,GHCND:USC00431433,"2,,,0",8.1
20,1999-11-01T00:00:00,EMNT,GHCND:USC00431580,",0,12,",16.0
21,1999-11-01T00:00:00,EMXT,GHCND:USC00431580,",0,03,",68.0
22,1999-11-01T00:00:00,PRCP,GHCND:USC00431580,",,,0",2.85
23,1999-11-01T00:00:00,SNOW,GHCND:USC00431580,",,,0",2.9
24,1999-11-01T00:00:00,TAVG,GHCND:USC00431580,",0",42.9
25,1999-11-01T00:00:00,TMAX,GHCND:USC00431580,",,,0",52.1
26,1999-11-01T00:00:00,TMIN,GHCND:USC00431580,",,,0",33.7
27,1999-11-01T00:00:00,EMNT,GHCND:USC00432698,",0,12,",16.0
28,1999-11-01T00:00:00,EMXT,GHCND:USC00432698,",0,04,+",61.0
29,1999-11-01T00:00:00,PRCP,GHCND:USC00432698,",,,0",3.92
30,1999-11-01T00:00:00,SNOW,GHCND:USC00432698,",,,0",23.1
31,1999-11-01T00:00:00,TAVG,GHCND:USC00432698,",0",37.8
