,date,datatype,station,attributes,value,season
0,1978-11-01T00:00:00,EMNT,GHCND:USC00276234,",0,27,",-5.0,1978/1979
1,1978-11-01T00:00:00,EMXT,GHCND:USC00276234,",0,06,",66.0,1978/1979
2,1978-11-01T00:00:00,PRCP,GHCND:USC00276234,",,,0",1.55,1978/1979
3,1978-11-01T00:00:00,SNOW,GHCND:USC00276234,",,,0",9.0,1978/1979
4,1978-11-01T00:00:00,TAVG,GHCND:USC00276234,",0",32.7,1978/1979
5,1978-11-01T00:00:00,TMAX,GHCND:USC00276234,",,,0",45.3,1978/1979
6,1978-11-01T00:00:00,TMIN,GHCND:USC00276234,",,,0",20.1,1978/1979
7,1978-11-01T00:00:00,EMNT,GHCND:USC00430277,",0,27,",6.0,1978/1979
8,1978-11-01T00:00:00,EMXT,GHCND:USC00430277,",0,07,",70.0,1978/1979
9,1978-11-01T00:00:00,PRCP,GHCND:USC00430277,",,,0",2.33,1978/1979
10,1978-11-01T00:00:00,SNOW,GHCND:USC00430277,",,,0",9.5,1978/1979
11,1978-11-01T00:00:00,TAVG,GHCND:USC00430277,",0",34.0,1978/1979
12,1978-11-01T00:00:00,TMAX,GHCND:USC00430277,",,,0",46.8,1978/1979
13,1978-11-01T00:00:00,TMIN,GHCND:USC00430277,",,,0",21.1,1978/1979
14,1978-11-01T00:00:00,EMNT,GHCND:USC00430499,",0,28,+",12.0,1978/1979
15,1978-11-01T00:00:00,EMXT,GHCND:USC00430499,",0,06,",68.0,1978/1979
16,1978-11-01T00:00:00,PRCP,GHCND:USC00430499,",,,0",1.62,1978/1979
17,1978-11-01T00:00:00,SNOW,GHCND:USC00430499,",,,0",9.0,1978/1979
18,1978-11-01T00:00:00,TAVG,GHCND:USC00430499,",0",37.0,1978/1979
19,1978-11-01T00:00:00,TMAX,GHCND:USC00430499,",,,0",47.9,1978/1979
20,1978-11-01T00:00:00,TMIN,GHCND:USC00430499,",,,0",26.1,1978/1979
21,1978-11-01T00:00:00,PRCP,GHCND:USC00430661,",,,0",1.77,1978/1979
22,1978-11-01T00:00:00,SNOW,GHCND:USC00430661,",,,0",8.0,1978/1979
23,1978-11-01T00:00:00,EMNT,GHCND:USC00430922,",0,29,",5.0,1978/1979
24,1978-11-01T00:00:00,EMXT,GHCND:USC00430922,",0,07,",65.0,1978/1979
25,1978-11-01T00:00:00,PRCP,GHCND:USC00430922,",,,0",1.09,1978/1979
26,1978-11-01T00:00:00,SNOW,GHCND:USC00430922,",,,0",8.5,1978/1979
27,1978-11-01T00:00:00,TAVG,GHCND:USC00430922,",0",34.2,1978/1979
28,1978-11-01T00:00:00,TMAX,GHCND:USC00430922,",,,0",44.8,1978/1979
29,1978-11-01T00:00:00,TMIN,GHCND:USC00430922,",,,0",23.6,1978/1979
30,1978-11-01T00:00:00,PRCP,GHCND:USC00431213,",,,0",1.44,1978/1979
31,1978-11-01T00:00:00,SNOW,GHCND:USC00431213,",,,0",14.4,1978/1979
32,1978-11-01T00:00:00,EMNT,GHCND:USC00431243,",0,27,",-1.0,1978/1979
33,1978-11-01T00:00:00,EMXT,GHCND:USC00431243,",0,07,",69.0,1978/1979
34,1978-11-01T00:00:00,PRCP,GHCND:USC00431243,",,,0",2.42,1978/1979
35,1978-11-01T00:00:00,SNOW,GHCND:USC00431243,",,,0",9.1,1978/1979
36,1978-11-01T00:00:00,TAVG,GHCND:USC00431243,",0",34.3,1978/1979
37,1978-11-01T00:00:00,TMAX,GHCND:USC00431243,",,,0",46.9,1978/1979
38,1978-11-01T00:00:00,TMIN,GHCND:USC00431243,",,,0",21.8,1978/1979
39,1978-11-01T00:00:00,EMNT,GHCND:USC00431360,",0,30,+",-2.0,1978/1979
40,1978-11-01T00:00:00,EMXT,GHCND:USC00431360,",0,07,",70.0,1978/1979
41,1978-11-01T00:00:00,PRCP,GHCND:USC00431360,",,,0",1.46,1978/1979
42,1978-11-01T00:00:00,SNOW,GHCND:USC00431360,",,,0",6.5,1978/1979
43,1978-11-01T00:00:00,TAVG,GHCND:USC00431360,",0",31.7,1978/1979
44,1978-11-01T00:00:00,TMAX,GHCND:USC00431360,",,,0",45.8,1978/1979
45,1978-11-01T00:00:00,TMIN,GHCND:USC00431360,",,,0",17.7,1978/1979
46,1978-11-01T00:00:00,PRCP,GHCND:USC00431433,",,,0",1.22,1978/1979
47,1978-11-01T00:00:00,SNOW,GHCND:USC00431433,",,,0",3.9,1978/1979
48,1978-11-01T00:00:00,EMNT,GHCND:USC00431580,",0,22,",6.0,1978/1979
49,1978-11-01T00:00:00,EMXT,GHCND:USC00431580,",0,06,",68.0,1978/1979
50,1978-11-01T00:00:00,PRCP,GHCND:USC00431580,",,,0",1.52,1978/1979
51,1978-11-01T00:00:00,SNOW,GHCND:USC00431580,",,,0",11.5,1978/1979
52,1978-11-01T00:00:00,TAVG,GHCND:USC00431580,",0",36.7,1978/1979
53,1978-11-01T00:00:00,TMAX,GHCND:USC00431580,",,,0",47.7,1978/1979
54,1978-11-01T00:00:00,TMIN,GHCND:USC00431580,",,,0",25.6,1978/1979
55,1978-11-01T00:00:00,PRCP,GHCND:USC00431715,",,,0",1.62,1978/1979
56,1978-11-01T00:00:00,SNOW,GHCND:USC00431715,"3,,,0",6.0,1978/1979
57,1978-11-01T00:00:00,EMNT,GHCND:USC00431786,"1,0,27,+",7.0,1978/1979
58,1978-11-01T00:00:00,EMXT,GHCND:USC00431786,"1,0,06,",70.0,1978/1979
59,1978-11-01T00:00:00,PRCP,GHCND:USC00431786,",,,0",1.64,1978/1979
60,1978-11-01T00:00:00,SNOW,GHCND:USC00431786,",,,0",4.5,1978/1979
61,1978-11-01T00:00:00,TAVG,GHCND:USC00431786,"1,0",37.5,1978/1979
